"segment_row","max_river_gap_m","max_transitional_gap_m","max_noncoastal_gap_m","water_ids","water_names","segment_id","source_id","min_coastal_gap_m","proposed_exclusion","evidence_url"
2572,6.51308042198931,996.586289948503,6.51308042198931,"GB105035046290","Blyth (d/s Halesworth)","13cc9ebbca6b3b1e5d46ae38be2e6f4eb44a3d1235c2125d86078a14e11e3414","CBDCE661-F0D2-4227-B322-3AD68DA2EB21",6068.30934088822,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2573,12.0268395162249,945.351151456917,12.0268395162249,"GB105035046290","Blyth (d/s Halesworth)","648cc470d83b394b9a217c1d39ed317e2b8f261f08e3840a6ae296da130e2932","EA99B246-F21A-476D-9E38-D4025AC565E9",5639.44494485121,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2574,0.552693449865457,930.288371611119,0.552693449865457,"GB105035046290","Blyth (d/s Halesworth)","c543ab0604543ebd217b893db913ec11b3546efb361d459bf0981bdfe8f9b086","D7A42C71-2F4A-4604-A834-4F0CD1CFC4A5",6013.26737220297,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2575,4.58819859090622,893.58301395635,4.58819859090622,"GB105035046290","Blyth (d/s Halesworth)","20d62011104850c14d95a6f3d8086b148b35fdc72be694df19fc11175b72c0c2","5CEA24A9-FB48-4484-9EEE-0F09E93974C8",5636.91933436374,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2576,7.46420469726411,508.430930275302,7.46420469726411,"GB105035046290","Blyth (d/s Halesworth)","7e7369c197efa333f0e8deea08f923b56eb451cf73078eabcb6ebec48642cdc2","93FDA2CC-5699-4466-BE11-1652C46A07C1",5637.92418580785,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2577,7.16872653229388,501.106579378888,7.16872653229388,"GB105035046290","Blyth (d/s Halesworth)","d5c5ba607b33a25cb53715f41ba140201ea6bae8301a769dbea78f4148595e1f","DFC0CC1D-EA54-4220-97F1-69833946738D",5631.72863085077,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2578,11.0044365560862,500.206704823589,11.0044365560862,"GB105035046290","Blyth (d/s Halesworth)","54e71eb449ca46654cb0e4e5179eebe1c5422f036b4df07a8df2601b16601dd9","3D110269-5457-4D27-AEF6-0CF67F086A8A",5358.41062197281,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2579,0.73198145718311,509.558078442713,0.73198145718311,"GB105035046290","Blyth (d/s Halesworth)","1c8594a2c00b3eaa9ce34aca1ff855e14a8d5e74789a5d25f2fc7c23f4c00f22","2A3DB41F-61BF-44E9-97F2-A02D9EE960F8",5635.70496470249,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2580,0.250911477935741,500.895180131157,0.250911477935741,"GB105035046290","Blyth (d/s Halesworth)","3ab4c34daba760a5c10539d0f3c08296877424eba8cbd9c70e50d5a745e3b825","FE56006B-4F75-4D25-A613-DD7E64B11254",5628.51994196988,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2581,2.97977183075952,500.643407810136,2.97977183075952,"GB105035046290","Blyth (d/s Halesworth)","554090d803e9580efa08a48102d501f24473ae7abc49574b484b0e2b5fb10001","37C99AA9-6804-4BBA-B6EB-C80AA730F227",5416.71419324831,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2582,1.89620177302487,280.915372480593,1.89620177302487,"GB105035046290","Blyth (d/s Halesworth)","8b3f28dbb50fe3863162b5ac3cd6b7132f5a4a797f6844d25bf167276f26f556","01BA3FCB-8F67-41A7-9955-42AA910C1C46",5370.6660406947,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2583,8.2745520411051,193.854458413236,8.2745520411051,"GB105035046290","Blyth (d/s Halesworth)","b5959162dec397db9a6055632433fb0e138380d6916a3e6c95e289ae85a09675","AE97BF17-F08A-49F2-A45E-9C1DEB8DC212",5274.08619204049,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2584,9.68834640037504,220.916802469127,9.68834640037504,"GB105035046290","Blyth (d/s Halesworth)","86f4baaeb41f61849fcb5e31398f264ec2b0ef53d501cbf8dce62556820e413d","C29D9465-769A-4EC5-A892-00977131E0DD",5234.15744977863,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2585,8.20898648224768,92.5676324179093,8.20898648224768,"GB105035046290","Blyth (d/s Halesworth)","6bb0b2c24202dd3791225b4d276b4d7c43e728dbdcfe2c15937e8c501fb32107","6103A2E1-41D6-450F-A0CC-FDAB35E87BD1",5242.27777648297,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2596,3115.81961797763,83.8240089682885,83.8240089682885,"GB105035046260","Hundred River","d9712719d10e4d414e464b5609fda8ec47ec106c81ce33448dba4b10c097aeb8","022D418C-52A8-4651-8F1C-14662B58C05D",2426.70178786292,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2597,3081.95859884811,58.6981016017818,58.6981016017818,"GB105035046260","Hundred River","779f593a54e96038632dfa925c7f16fc2c1d3ba9dcbd3a306857b14816aa3719","022D418C-52A8-4651-8F1C-14662B58C05D",2425.14950960288,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2621,53620.6824022282,52.2345994692667,52.2345994692667,"GB70910082","Llangollen Canal","a118bce30a500a821b06beb9a9b8ececbaa66ed1b53d942dec667d0816558147","93C01067-7423-4A03-A741-1AE6CE2CB0A2",12355.1153115656,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2622,55622.8969382392,63.7559732183994,63.7559732183994,"GB70910082","Llangollen Canal","8e7f9ad596ce27e19fe9d148df6b06362fc320360a9722c41d4594be74438ed6","D7D9EBC1-36BF-44D0-B68D-9105DC4BCE8C",10495.6744489364,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
